Date,Clicks,Impressions,CTR,Position
2026-08-23,1,79,1.27%,39.6
2026-08-24,0,115,0%,34.5
2026-08-25,4,85,4.71%,37.7
2026-08-26,8,153,5.23%,42.3
2026-08-27,1,120,0.83%,38.9
2026-08-28,0,76,0%,34.4
2026-08-29,0,74,0%,43.7
